"","date","team","start_pitcher","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"home361",2015-06-28,"롯데","이상화","아두치","김문호","황재균","최준석","박종윤","오승택","이우민","김준태","오윤석"
"away362",2015-07-01,"한화","유먼","이용규","장운호","한상훈","김태균","이시찬","이성열","주현상","권용관","허도환"
"home362",2015-07-01,"KIA","임준혁","신종길","김민우","김주찬","필","이범호","김다원","최용규","이홍구","김호령"
"away363",2015-07-01,"kt","정대현","오정복","이대형","마르테","댄블랙","김상현","장성우","하준호","문상철","박기혁"
"home363",2015-07-01,"SK","밴와트","김강민","이명기","최정","이재원","브라운","나주환","박진만","정상호","김성현"
"away364",2015-07-01,"LG","우규민","박용택","김용의","정성훈","히메네스","오지환","양석환","문선재","최경철","박지규"
"home364",2015-07-01,"두산","스와잭","정수빈","정진호","김현수","로메로","오재원","양의지","김재환","허경민","김재호"
"away365",2015-07-01,"롯데","레일리","아두치","김문호","황재균","최준석","박종윤","오승택","이우민","김준태","손용석"
"home365",2015-07-01,"NC","이태양","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away366",2015-07-01,"삼성","클로이드","박한이","박석민","채태인","최형우","나바로","이승엽","구자욱","이지영","김상수"
"home366",2015-07-01,"넥센","금민철","서건창","고종욱","스나이더","박병호","유한준","김민성","윤석민","김하성","박동원"
"away367",2015-07-02,"한화","탈보트","이용규","송주호","이성열","김태균","이종환","한상훈","권용관","주현상","조인성"
"home367",2015-07-02,"KIA","김병현","신종길","최용규","김주찬","필","김원섭","김민우","박준태","백용환","이인행"
"away368",2015-07-02,"kt","윤근영","오정복","김사연","마르테","댄블랙","김상현","윤요섭","장성우","문상철","박기혁"
"home368",2015-07-02,"SK","김광현","이명기","김연훈","이재원","최정","브라운","김강민","이대수","김성현","박진만"
"away369",2015-07-02,"LG","루카스","박용택","문선재","정성훈","히메네스","오지환","채은성","양석환","유강남","손주인"
"home369",2015-07-02,"두산","진야곱","민병헌","정수빈","김현수","로메로","양의지","홍성흔","최주환","허경민","김재호"
"away370",2015-07-02,"롯데","송승준","아두치","김문호","황재균","최준석","박종윤","오승택","이우민","김준태","손용석"
"home370",2015-07-02,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away371",2015-07-02,"삼성","피가로","박한이","박석민","채태인","최형우","나바로","이승엽","구자욱","이지영","김상수"
"home371",2015-07-02,"넥센","피어밴드","서건창","고종욱","스나이더","박병호","유한준","김민성","윤석민","김하성","유선정"
"away372",2015-07-03,"KIA","스틴슨","신종길","김민우","김주찬","필","이범호","김다원","이홍구","최용규","김호령"
"home372",2015-07-03,"kt","엄상백","오정복","이대형","마르테","댄블랙","장성우","하준호","김사연","문상철","박기혁"
"away373",2015-07-03,"LG","류제국","박용택","김용의","정성훈","히메네스","오지환","이진영","문선재","유강남","손주인"
"home373",2015-07-03,"삼성","윤성환","박한이","박해민","채태인","최형우","나바로","이승엽","박석민","이지영","백상원"
"away374",2015-07-03,"NC","이재학","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home374",2015-07-03,"한화","안영명","이용규","송주호","이성열","김태균","이종환","정근우","권용관","주현상","조인성"
"away375",2015-07-03,"SK","박종훈","이명기","조동화","최정","브라운","이재원","김강민","박정권","나주환","김성현"
"home375",2015-07-03,"롯데","린드블럼","아두치","김문호","황재균","최준석","박종윤","오승택","손용석","김준태","이우민"
"away376",2015-07-03,"넥센","밴헤켄","서건창","고종욱","스나이더","박병호","유한준","김민성","윤석민","김하성","박동원"
"home376",2015-07-03,"두산","유희관","민병헌","정수빈","김현수","로메로","양의지","홍성흔","오재원","허경민","김재호"
"away377",2015-07-04,"KIA","양현종","신종길","김민우","김주찬","필","이범호","김원섭","최용규","이성우","김호령"
"home377",2015-07-04,"kt","주권","오정복","김사연","마르테","장성우","윤요섭","박경수","신명철","박기혁","이대형"
"away378",2015-07-04,"LG","소사","박용택","문선재","정성훈","히메네스","오지환","나성용","채은성","유강남","손주인"
"home378",2015-07-04,"삼성","차우찬","박한이","구자욱","나바로","최형우","박석민","이승엽","박해민","이지영","백상원"
"away379",2015-07-04,"NC","스튜어트","이종욱","김종호","나성범","테임즈","이호준","모창민","지석훈","손시헌","김태군"
"home379",2015-07-04,"한화","배영수","이용규","송주호","정근우","김태균","이종환","이성열","권용관","주현상","조인성"
"away380",2015-07-04,"SK","윤희상","이명기","조동화","최정","이재원","김강민","박정권","나주환","정상호","김성현"
"home380",2015-07-04,"롯데","김승회","아두치","김문호","황재균","최준석","박종윤","오승택","오윤석","안중열","이우민"
"away381",2015-07-04,"넥센","한현희","고종욱","스나이더","윤석민","박병호","유한준","김민성","박헌도","김하성","박동원"
"home381",2015-07-04,"두산","장원준","민병헌","정수빈","김현수","로메로","오재원","김재환","오재일","최재훈","김재호"
"away382",2015-07-05,"KIA","서재응","신종길","김원섭","김주찬","필","이범호","김민우","김다원","이성우","최용규"
"home382",2015-07-05,"kt","옥스프링","오정복","이대형","마르테","장성우","하준호","김사연","신명철","박경수","박기혁"
"away383",2015-07-05,"LG","임정우","박용택","이진영","정성훈","히메네스","오지환","양석환","문선재","유강남","손주인"
"home383",2015-07-05,"삼성","장원삼","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","최선호"
"away384",2015-07-05,"SK","켈리","이명기","조동화","최정","브라운","이재원","김강민","나주환","윤중환","김성현"
"home384",2015-07-05,"롯데","박세웅","아두치","김문호","황재균","최준석","박종윤","오승택","손용석","안중열","이우민"
"away385",2015-07-05,"넥센","김택형","고종욱","스나이더","윤석민","박병호","유한준","김민성","박헌도","김하성","박동원"
"home385",2015-07-05,"두산","허준혁","민병헌","박건우","김현수","로메로","양의지","허경민","고영민","유민상","김재호"
"away386",2015-07-07,"KIA","임준혁","신종길","김민우","김주찬","필","이범호","김주형","백용환","강한울","김호령"
"home386",2015-07-07,"넥센","송신영","서건창","고종욱","윤석민","박병호","유한준","김민성","스나이더","김하성","박동원"
"away387",2015-07-07,"롯데","레일리","아두치","김문호","황재균","최준석","박종윤","강민호","오승택","손용석","이우민"
"home387",2015-07-07,"LG","우규민","박용택","문선재","정성훈","히메네스","오지환","채은성","이진영","유강남","손주인"
"away388",2015-07-08,"KIA","박정수","신종길","김민우","김주형","필","이범호","김다원","백용환","이홍구","김호령"
"home388",2015-07-08,"넥센","피어밴드","고종욱","서건창","스나이더","박병호","김민성","윤석민","박헌도","김하성","박동원"
"away389",2015-07-08,"롯데","송승준","아두치","김문호","황재균","최준석","박종윤","강민호","오승택","김대륙","이우민"
"home389",2015-07-08,"LG","루카스","박용택","문선재","정성훈","히메네스","이진영","채은성","오지환","유강남","손주인"
"away390",2015-07-08,"두산","스와잭","민병헌","정수빈","김현수","로메로","오재원","양의지","허경민","유민상","김재호"
"home390",2015-07-08,"한화","탈보트","이용규","송주호","정근우","김태균","이종환","이성열","권용관","주현상","조인성"
"away391",2015-07-09,"KIA","홍건희","신종길","김민우","필","나지완","이범호","김다원","이홍구","박기남","김호령"
"home391",2015-07-09,"넥센","밴헤켄","고종욱","서건창","스나이더","박병호","유한준","김민성","윤석민","김하성","박동원"
"away392",2015-07-09,"kt","엄상백","김사연","이대형","마르테","댄블랙","장성우","윤요섭","박경수","박기혁","김진곤"
"home392",2015-07-09,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away393",2015-07-09,"롯데","린드블럼","아두치","김문호","황재균","최준석","박종윤","오승택","오현근","안중열","김대륙"
"home393",2015-07-09,"LG","류제국","박용택","문선재","정성훈","히메네스","이진영","양석환","오지환","유강남","손주인"
"away394",2015-07-09,"두산","유희관","민병헌","정수빈","김현수","로메로","오재원","양의지","유민상","허경민","김재호"
"home394",2015-07-09,"한화","안영명","이용규","장운호","정근우","김태균","이종환","신성현","권용관","조인성","송주호"
"away395",2015-07-09,"SK","김광현","이명기","조동화","이재원","브라운","김강민","나주환","윤중환","김연훈","김성현"
"home395",2015-07-09,"삼성","피가로","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","최선호"
"away396",2015-07-10,"한화","송창식","이용규","한상훈","정근우","김태균","이종환","이성열","권용관","조인성","송주호"
"home396",2015-07-10,"LG","소사","박용택","이민재","정성훈","히메네스","이진영","채은성","오지환","최경철","손주인"
"away397",2015-07-10,"KIA","스틴슨","신종길","김민우","필","나지완","이범호","이홍구","김다원","이호신","강한울"
"home397",2015-07-10,"SK","박종훈","이명기","조동화","최정","브라운","이재원","김강민","임훈","이대수","김성현"
"away398",2015-07-10,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home398",2015-07-10,"넥센","한현희","고종욱","서건창","스나이더","박병호","유한준","김민성","윤석민","김하성","박동원"
"away399",2015-07-10,"두산","장원준","민병헌","정수빈","김현수","로메로","양의지","유민상","고영민","허경민","김재호"
"home399",2015-07-10,"롯데","김승회","아두치","오승택","황재균","최준석","손아섭","박종윤","문규현","안중열","김문호"
"away400",2015-07-10,"삼성","클로이드","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","최선호"
"home400",2015-07-10,"kt","정대현","이대형","김사연","마르테","댄블랙","장성우","신명철","박경수","박기혁","김민혁"
"away401",2015-07-11,"한화","유먼","이용규","장운호","정근우","김태균","이종환","이성열","권용관","주현상","허도환"
"home401",2015-07-11,"LG","장진용","문선재","양석환","정성훈","히메네스","오지환","채은성","정의윤","유강남","손주인"
"away402",2015-07-11,"KIA","서재응","신종길","김민우","필","나지완","이범호","김주형","김호령","백용환","강한울"
"home402",2015-07-11,"SK","켈리","이명기","조동화","최정","브라운","이재원","김강민","임훈","김연훈","나주환"
"away403",2015-07-11,"NC","이태양","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home403",2015-07-11,"넥센","김택형","고종욱","서건창","스나이더","박병호","김민성","유한준","윤석민","김하성","박동원"
"away404",2015-07-11,"삼성","윤성환","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","최선호"
"home404",2015-07-11,"kt","옥스프링","이대형","김민혁","마르테","댄블랙","장성우","박경수","신명철","김사연","박기혁"
"away405",2015-07-14,"kt","저마노","이대형","김민혁","마르테","댄블랙","김상현","장성우","박경수","김사연","박기혁"
"home405",2015-07-14,"두산","스와잭","민병헌","정수빈","김현수","로메로","오재원","양의지","유민상","허경민","김재호"
"away406",2015-07-14,"LG","우규민","정성훈","오지환","이진영","히메네스","이병규","박용택","문선재","최경철","손주인"
"home406",2015-07-14,"KIA","임준혁","신종길","김민우","필","나지완","김다원","김주형","이홍구","김호령","강한울"
"away407",2015-07-14,"롯데","송승준","아두치","김문호","황재균","손아섭","최준석","박종윤","정훈","안중열","문규현"
"home407",2015-07-14,"한화","탈보트","이용규","장운호","정근우","김태균","이종환","이성열","권용관","주현상","조인성"
"away408",2015-07-14,"SK","윤희상","이명기","조동화","이재원","브라운","최정","김강민","임훈","김연훈","나주환"
"home408",2015-07-14,"NC","이재학","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away409",2015-07-14,"넥센","피어밴드","고종욱","서건창","윤석민","박병호","김민성","유한준","박헌도","김하성","박동원"
"home409",2015-07-14,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","최선호"
"away410",2015-07-15,"kt","정대현","이대형","신명철","마르테","김상현","장성우","박경수","김사연","윤요섭","박기혁"
"home410",2015-07-15,"두산","유희관","민병헌","정수빈","김현수","로메로","양의지","오재원","고영민","허경민","김재호"
"away411",2015-07-15,"롯데","린드블럼","아두치","김문호","황재균","손아섭","최준석","박종윤","정훈","안중열","문규현"
"home411",2015-07-15,"한화","배영수","이용규","장운호","정근우","김태균","한상훈","이성열","김경언","권용관","조인성"
"away412",2015-07-15,"SK","세든","이명기","임훈","최정","브라운","이재원","김강민","나주환","정상호","김성현"
"home412",2015-07-15,"NC","해커","박민우","김성욱","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away413",2015-07-15,"넥센","밴헤켄","고종욱","서건창","스나이더","박병호","김민성","유한준","윤석민","김하성","박동원"
"home413",2015-07-15,"삼성","피가로","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","최선호"
"away414",2015-07-16,"kt","옥스프링","김사연","박경수","마르테","김상현","장성우","윤요섭","박기혁","배병옥","이대형"
"home414",2015-07-16,"두산","장원준","민병헌","정수빈","김현수","로메로","오재원","양의지","오재일","허경민","김재호"
"away415",2015-07-16,"LG","류제국","박용택","문선재","정성훈","히메네스","정의윤","이진영","오지환","최경철","손주인"
"home415",2015-07-16,"KIA","양현종","김주찬","신종길","필","나지완","이범호","김민우","백용환","김호령","강한울"
"away416",2015-07-16,"롯데","레일리","아두치","김문호","황재균","손아섭","최준석","박종윤","정훈","안중열","김대륙"
"home416",2015-07-16,"한화","안영명","이용규","장운호","정근우","김태균","이종환","권용관","조인성","주현상","송주호"
"away417",2015-07-16,"SK","켈리","이명기","조동화","최정","이재원","김강민","브라운","임훈","나주환","김성현"
"home417",2015-07-16,"NC","스튜어트","김태진","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away418",2015-07-16,"넥센","김택형","고종욱","스나이더","서건창","박병호","김민성","유한준","윤석민","김하성","박동원"
"home418",2015-07-16,"삼성","클로이드","구자욱","박해민","나바로","최형우","박석민","이승엽","백상원","이지영","이영욱"
"away419",2015-07-18,"드림","유희관","민병헌","황재균","나바로","최형우","이승엽","김현수","구자욱","강민호","김상수"
"home419",2015-07-18,"나눔","양현종","이용규","정근우","김주찬","테임즈","이호준","유한준","김민성","김하성","김태군"
"away420",2015-07-21,"한화","탈보트","이용규","장운호","정근우","김태균","이종환","고동진","강경학","주현상","조인성"
"home420",2015-07-21,"kt","저마노","오정복","이대형","마르테","김상현","장성우","장성호","박경수","박기혁","김사연"
"away421",2015-07-21,"KIA","스틴슨","김주찬","신종길","필","나지완","이범호","김민우","이홍구","김호령","이인행"
"home421",2015-07-21,"삼성","윤성환","구자욱","박해민","채태인","최형우","나바로","이승엽","박석민","이지영","김상수"
"away422",2015-07-21,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home422",2015-07-21,"롯데","레일리","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","문규현"
"away423",2015-07-21,"두산","스와잭","민병헌","정수빈","김현수","로메로","양의지","오재원","허경민","박건우","김재호"
"home423",2015-07-21,"SK","세든","이명기","조동화","최정","이재원","브라운","김강민","이대수","정상호","김성현"
"away424",2015-07-21,"넥센","밴헤켄","고종욱","임병욱","서건창","박병호","김민성","유한준","스나이더","김하성","박동원"
"home424",2015-07-21,"LG","우규민","정성훈","오지환","이진영","히메네스","정의윤","박용택","문선재","최경철","손주인"
"away425",2015-07-22,"한화","안영명","이용규","장운호","정근우","김태균","이종환","이성열","강경학","주현상","조인성"
"home425",2015-07-22,"kt","엄상백","오정복","이대형","마르테","김상현","장성우","박경수","박기혁","신명철","김사연"
"away426",2015-07-22,"KIA","임기준","김주찬","신종길","필","나지완","이범호","백용환","김민우","김호령","이인행"
"home426",2015-07-22,"삼성","피가로","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"away427",2015-07-22,"NC","해커","박민우","김종호","나성범","테임즈","김성욱","이종욱","지석훈","손시헌","김태군"
"home427",2015-07-22,"롯데","송승준","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","문규현"
"away428",2015-07-22,"두산","장원준","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home428",2015-07-22,"SK","박종훈","이명기","조동화","최정","이재원","김강민","브라운","김성현","정상호","김연훈"
"away429",2015-07-22,"넥센","문성현","고종욱","서건창","유한준","박병호","김민성","윤석민","스나이더","김하성","박동원"
"home429",2015-07-22,"LG","루카스","정성훈","오지환","이진영","히메네스","이병규","박용택","문선재","유강남","박지규"
"away430",2015-07-23,"KIA","양현종","신종길","김민우","김주찬","필","이범호","김다원","백용환","박찬호","김호령"
"home430",2015-07-23,"삼성","차우찬","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"away431",2015-07-23,"NC","이태양","김종호","김성욱","나성범","테임즈","조영훈","모창민","지석훈","손시헌","김태군"
"home431",2015-07-23,"롯데","심수창","손아섭","김문호","정훈","아두치","최준석","강민호","박종윤","손용석","문규현"
"away432",2015-07-23,"두산","유희관","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home432",2015-07-23,"SK","켈리","이명기","임훈","최정","브라운","이재원","김강민","박정권","나주환","김성현"
"away433",2015-07-24,"롯데","린드블럼","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","문규현"
"home433",2015-07-24,"KIA","임준혁","김주찬","이인행","필","나지완","이범호","김원섭","김민우","백용환","김호령"
"away434",2015-07-24,"두산","허준혁","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home434",2015-07-24,"NC","손민한","박민우","김종호","나성범","테임즈","김성욱","조영훈","모창민","지석훈","김태군"
"away435",2015-07-24,"삼성","클로이드","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"home435",2015-07-24,"한화","배영수","이용규","강경학","정근우","김태균","이성열","정범모","장운호","고동진","주현상"
"away436",2015-07-25,"롯데","박세웅","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","김대륙"
"home436",2015-07-25,"KIA","박정수","신종길","김원섭","김주찬","필","이범호","나지완","김민우","백용환","이인행"
"away437",2015-07-25,"두산","진야곱","민병헌","정수빈","김현수","로메로","오재원","양의지","허경민","오재일","김재호"
"home437",2015-07-25,"NC","이재학","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away438",2015-07-25,"삼성","장원삼","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이흥련","김상수"
"home438",2015-07-25,"한화","김민우","이용규","장운호","정근우","김태균","이성열","신성현","주현상","권용관","조인성"
"away439",2015-07-26,"kt","정대현","오정복","이대형","마르테","김상현","장성우","박경수","신명철","김사연","박기혁"
"home439",2015-07-26,"LG","우규민","정성훈","오지환","이진영","히메네스","이병규","박용택","문선재","유강남","손주인"
"away440",2015-07-26,"롯데","레일리","손아섭","김문호","황재균","아두치","최준석","강민호","박종윤","정훈","김대륙"
"home440",2015-07-26,"KIA","스틴슨","김주찬","김민우","필","나지완","이범호","김다원","이홍구","황대인","김호령"
"away441",2015-07-26,"두산","스와잭","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","박건우","김재호"
"home441",2015-07-26,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away442",2015-07-26,"SK","세든","이명기","김강민","최정","브라운","이재원","박정권","나주환","정상호","김성현"
"home442",2015-07-26,"넥센","피어밴드","고종욱","유재신","유한준","박병호","김민성","윤석민","박헌도","김하성","박동원"
"away443",2015-07-26,"삼성","윤성환","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"home443",2015-07-26,"한화","탈보트","이용규","장운호","정근우","김태균","김경언","고동진","권용관","주현상","조인성"
"away444",2015-07-28,"한화","송은범","이용규","장운호","정근우","김태균","김경언","이성열","권용관","조인성","주현상"
"home444",2015-07-28,"두산","장원준","민병헌","허경민","김현수","로메로","양의지","오재일","최주환","박건우","김재호"
"away445",2015-07-28,"kt","옥스프링","오정복","박기혁","박경수","마르테","장성우","김상현","윤요섭","모상기","이대형"
"home445",2015-07-28,"넥센","밴헤켄","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away446",2015-07-28,"LG","루카스","정성훈","임훈","이진영","히메네스","오지환","박용택","나성용","유강남","손주인"
"home446",2015-07-28,"롯데","송승준","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","이우민","김대륙"
"away447",2015-07-28,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home447",2015-07-28,"삼성","피가로","구자욱","박해민","나바로","최형우","채태인","이승엽","박석민","이지영","김상수"
"away448",2015-07-28,"SK","김광현","이명기","김강민","최정","브라운","이재원","박정권","정의윤","나주환","김성현"
"home448",2015-07-28,"KIA","임준혁","김주찬","김민우","필","이범호","나지완","김다원","백용환","황대인","김호령"
"away449",2015-07-29,"한화","배영수","이용규","장운호","정근우","김태균","김경언","조인성","권용관","이성열","주현상"
"home449",2015-07-29,"두산","유희관","민병헌","허경민","김현수","로메로","양의지","오재일","최주환","정진호","김재호"
"away450",2015-07-29,"kt","저마노","오정복","이대형","장성호","마르테","장성우","박경수","모상기","박기혁","김민혁"
"home450",2015-07-29,"넥센","송신영","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away451",2015-07-29,"LG","류제국","정성훈","임훈","이진영","나성용","오지환","박용택","양석환","유강남","박지규"
"home451",2015-07-29,"롯데","린드블럼","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","오현근","김대륙"
"away452",2015-07-29,"NC","이승호","최재원","김성욱","모창민","테임즈","이호준","이종욱","지석훈","손시헌","용덕한"
"home452",2015-07-29,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이흥련","김상수"
"away453",2015-07-29,"SK","윤희상","브라운","이명기","최정","정의윤","이재원","김강민","나주환","정상호","김성현"
"home453",2015-07-29,"KIA","양현종","신종길","김원섭","필","이범호","나지완","김민우","백용환","김호령","박찬호"
"away454",2015-07-30,"한화","김민우","이용규","강경학","정근우","김태균","김경언","조인성","장운호","주현상","신성현"
"home454",2015-07-30,"두산","허준혁","민병헌","허경민","오재원","로메로","양의지","오재일","정진호","박건우","김재호"
"away455",2015-07-30,"kt","엄상백","오정복","이대형","장성호","마르테","장성우","박경수","김상현","박기혁","김사연"
"home455",2015-07-30,"넥센","문성현","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"away456",2015-07-30,"LG","소사","정성훈","임훈","박용택","히메네스","이진영","오지환","문선재","최경철","손주인"
"home456",2015-07-30,"롯데","심수창","손아섭","정훈","오승택","아두치","최준석","박종윤","안중열","이우민","문규현"
"away457",2015-07-30,"NC","이민호","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home457",2015-07-30,"삼성","클로이드","구자욱","박해민","나바로","최형우","박석민","이승엽","박찬도","이지영","김상수"
"away458",2015-07-30,"SK","켈리","브라운","이명기","최정","정의윤","이재원","김강민","박정권","나주환","김성현"
"home458",2015-07-30,"KIA","김병현","신종길","오준혁","필","이범호","나지완","김원섭","윤완주","이홍구","박찬호"
"away459",2015-07-31,"KIA","박정수","신종길","오준혁","김주찬","필","이범호","김민우","백용환","김호령","박찬호"
"home459",2015-07-31,"한화","탈보트","이용규","강경학","김경언","김태균","정근우","이성열","조인성","장운호","주현상"
"away460",2015-07-31,"LG","김광삼","임훈","서상우","박용택","정성훈","이진영","양석환","오지환","유강남","손주인"
"home460",2015-07-31,"SK","박종훈","브라운","박정권","이명기","최정","정의윤","김강민","나주환","정상호","김성현"
"away461",2015-07-31,"롯데","박세웅","손아섭","정훈","황재균","아두치","최준석","강민호","박종윤","김주현","문규현"
"home461",2015-07-31,"kt","윤근영","오정복","이대형","마르테","김상현","박경수","장성호","윤요섭","박기혁","김민혁"
"away462",2015-07-31,"삼성","장원삼","구자욱","박해민","나바로","최형우","박석민","이승엽","박찬도","이흥련","김상수"
"home462",2015-07-31,"두산","진야곱","허경민","박건우","김현수","로메로","오재원","고영민","국해성","최재훈","김재호"
"away463",2015-07-31,"넥센","김택형","고종욱","임병욱","유한준","박병호","김민성","윤석민","스나이더","김하성","박동원"
"home463",2015-07-31,"NC","이태양","김종호","모창민","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away464",2015-08-01,"KIA","스틴슨","신종길","김민우","김주찬","필","이범호","나지완","이홍구","김호령","박찬호"
"home464",2015-08-01,"한화","송창식","강경학","장운호","정근우","김태균","김경언","이성열","조인성","황선일","주현상"
"away465",2015-08-01,"LG","우규민","문선재","임훈","박용택","정성훈","히메네스","양석환","유강남","김영관","손주인"
"home465",2015-08-01,"SK","세든","조동화","박정권","이명기","최정","이재원","브라운","나주환","정상호","김성현"
"away466",2015-08-01,"롯데","레일리","손아섭","정훈","황재균","아두치","최준석","강민호","김주현","오승택","문규현"
"home466",2015-08-01,"kt","정대현","오정복","이대형","마르테","김상현","윤요섭","박경수","장성우","박기혁","김사연"
"away467",2015-08-01,"삼성","윤성환","구자욱","박해민","나바로","최형우","박석민","이승엽","박찬도","이지영","김상수"
"home467",2015-08-01,"두산","스와잭","허경민","박건우","김현수","로메로","오재원","오재일","국해성","최재훈","김재호"
"away468",2015-08-01,"넥센","피어밴드","고종욱","스나이더","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"home468",2015-08-01,"NC","스튜어트","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away469",2015-08-02,"KIA","임준혁","신종길","김민우","김주찬","필","이범호","김원섭","나지완","이홍구","박찬호"
"home469",2015-08-02,"한화","안영명","강경학","권용관","정근우","김태균","김경언","조인성","장운호","이성열","주현상"
"away470",2015-08-02,"LG","루카스","문선재","임훈","박용택","정성훈","히메네스","채은성","유강남","김영관","손주인"
"home470",2015-08-02,"SK","김광현","이명기","박정권","최정","정의윤","이재원","김강민","브라운","김연훈","김성현"
"away471",2015-08-02,"롯데","이재곤","손아섭","정훈","황재균","아두치","최준석","강민호","오승택","이우민","김대륙"
"home471",2015-08-02,"kt","옥스프링","오정복","이대형","마르테","김상현","장성우","박경수","김영환","박기혁","김민혁"
"away472",2015-08-02,"삼성","피가로","구자욱","박해민","나바로","최형우","이승엽","이지영","백상원","박찬도","김상수"
"home472",2015-08-02,"두산","장원준","민병헌","허경민","김현수","로메로","오재원","양의지","오재일","국해성","최주환"
"away473",2015-08-02,"넥센","밴헤켄","고종욱","이택근","유한준","박병호","김민성","윤석민","서건창","김하성","박동원"
"home473",2015-08-02,"NC","해커","박민우","김종호","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"away474",2015-08-04,"한화","김민우","강경학","권용관","김경언","김태균","조인성","황선일","장운호","이성열","주현상"
"home474",2015-08-04,"SK","윤희상","이명기","박정권","최정","정의윤","이재원","김강민","브라운","박계현","김성현"
"away475",2015-08-04,"KIA","양현종","신종길","김민우","김주찬","필","이범호","김원섭","백용환","김호령","박찬호"
"home475",2015-08-04,"넥센","송신영","이택근","스나이더","유한준","박병호","김민성","윤석민","박헌도","김하성","박동원"
"away476",2015-08-04,"NC","이재학","박민우","김성욱","나성범","테임즈","이호준","이종욱","지석훈","손시헌","김태군"
"home476",2015-08-04,"LG","류제국","임훈","서상우","박용택","정성훈","이진영","양석환","오지환","유강남","손주인"
"away477",2015-08-04,"두산","유희관","민병헌","허경민","김현수","로메로","오재원","양의지","홍성흔","오재일","정진호"
"home477",2015-08-04,"롯데","린드블럼","손아섭","정훈","황재균","아두치","최준석","강민호","김주현","오승택","김대륙"
"away478",2015-08-04,"삼성","차우찬","구자욱","박해민","나바로","최형우","박석민","이승엽","채태인","이흥련","김상수"
"home478",2015-08-04,"kt","저마노","오정복","이대형","마르테","김상현","장성우","박경수","윤요섭","박기혁","배병옥"
"away479",2015-08-05,"한화","탈보트","강경학","장운호","정근우","김태균","김경언","조인성","황선일","주현상","허도환"
"home479",2015-08-05,"SK","켈리","이명기","박정권","최정","정의윤","이재원","김강민","브라운","박계현","김성현"
