TEAM,YEAR,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Final,OverallRank
LG,1987,,10-0-8,2007-01-11,2006-02-08,4-0-5,2010-01-07,2012-03-10,1-0-2,50-7-51,5
LG,1988,,2006-01-13,2005-01-17,2009-01-06,2006-01-11,9-0-15,5-0-2,,40-4-64,6
LG,1989,,2006-01-11,2012-01-09,2006-01-10,6-0-12,2004-01-15,13-0-8,2-0-2,49-4-67,6
LG,1990,,6-0-8,6-0-12,16-0-6,12-0-8,16-0-10,15-0-5,,71-0-49,1
LG,1991,,2012-01-08,11-0-16,11-0-8,10-0-11,8-0-19,1-0-10,,53-1-72,6
LG,1992,,2006-01-16,2011-01-13,6-0-14,13-0-11,2014-01-11,3-0-5,,53-3-70,7
LG,1993,,10-0-7,15-0-10,2011-01-10,15-0-6,2008-01-10,2007-01-14,,66-3-57,4
LG,1994,,12-0-6,17-0-7,13-0-12,14-0-6,15-0-9,10-0-5,,81-0-45,1
LG,1995,,8-0-4,14-0-11,2016-01-08,9-0-7,2014-02-08,2013-01-10,,74-4-48,3
LG,1996,,6-0-8,2012-02-14,2012-01-11,2006-02-11,10-0-15,4-0-12,,50-5-71,7
LG,1997,,12-0-4,14-0-10,2012-02-09,7-0-12,15-0-11,13-0-5,,73-2-51,2
LG,1998,,8-0-7,12-0-13,2011-01-11,9-0-13,11-0-8,11-0-9,1-0-1,63-1-62,2
LG,1999,,14-0-8,12-0-14,13-0-13,10-0-9,7-0-13,3-0-10,2002-01-03,61-1-70,6
LG,2000,,10-0-13,2016-01-09,2012-01-11,2006-01-12,10-0-10,9-0-1,4-0-7,67-3-63,4
LG,2001,,6-0-16,2011-02-14,2012-01-10,2007-03-05,2008-01-10,2011-01-12,3-0-0,58-8-67,6
LG,2002,,10-0-12,2009-01-13,2013-02-06,10-0-8,2012-02-07,2010-01-13,2-0-2,66-6-61,2
LG,2003,,2010-01-10,2014-01-10,9-0-12,9-0-9,10-0-16,7-0-14,1-0-0,60-2-71,6
LG,2004,,2013-01-10,2011-01-12,7-0-16,8-0-10,2011-02-08,8-0-12,1-0-2,59-4-70,6
LG,2005,,10-0-13,10-0-14,11-0-11,2009-01-11,7-0-15,7-0-7,,54-1-71,6
LG,2006,,7-0-12,2008-01-14,2009-01-12,2006-02-08,10-0-14,7-0-14,0-0-1,47-4-75,8
LG,2007,,10-0-9,2011-02-10,12-0-13,2009-03-07,11-0-12,2004-01-09,1-0-2,58-6-62,5
LG,2008,1-0-1,11-0-15,9-0-18,4-0-18,8-0-13,3-0-3,8-0-11,2-0-1,46-0-80,8
