TEAM,YEAR,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Final,OverallRank
HAN,2013,0-0-2,2005-01-14,9-0-15,5-0-14,4-0-10,8-0-14,9-0-14,2-0-2,42-1-85,9
HAN,2014,1-0-1,7-0-13,2008-01-15,7-0-13,9-0-11,12-0-7,2003-01-07,2-0-10,49-2-77,9
HAN,Sum,2-0-7,254-13-296,328-16-357,280-14-333,262-11-262,300-14-315,247-8-257,34-1-50,"1,707-77-1,877",
HAN,WinRate,0.222,0.462,0.479,0.457,0.5,0.488,0.49,0.405,0.476,
SSB,1991,,6-0-14,12-0-15,8-0-9,2006-02-10,2014-01-14,6-0-9,,52-3-71,6
SSB,1992,,2008-01-11,7-0-20,7-0-11,11-0-17,6-0-18,2-0-7,,41-1-84,8
SSB,1993,,6-0-12,2009-01-14,2009-03-12,10-0-10,2003-01-15,6-0-15,,43-5-78,7
SSB,1994,,2008-01-09,6-0-17,2005-01-19,9-0-8,2008-03-14,11-0-7,,47-5-74,8
SSB,1995,,8-0-5,7-0-17,2010-01-15,4-0-14,2008-02-12,8-0-15,,45-3-78,8
SSB,1996,,9-0-4,2012-01-15,13-0-12,2009-01-09,18-0-10,9-0-4,,70-2-54,3
SSB,1997,,9-0-7,10-0-13,11-0-10,2009-01-03,14-0-9,2016-01-11,2-0-0,71-2-53,3
SSB,1998,,4-0-10,14-0-10,10-0-11,12-0-10,2006-02-14,9-0-11,3-0-0,58-2-66,6
SSB,1999,,2005-02-15,2006-01-20,2004-02-19,4-0-14,8-0-14,2000-01-10,2001-01-05,28-7-97,8
SSB,Sum,63-4-87,83-3-141,77-7-118,74-4-95,85-9-120,67-2-89,2006-01-05,455-30-655,,
SSB,WinRate,0.42,0.371,0.395,0.438,0.415,0.429,0.545,0.41,,
HYU,1982,1-0-1,2-0-9,4-0-10,3-0-9,1-0-10,1-0-12,3-0-11,0-0-3,15-0-65,6
HYU,1983,,9-0-6,12-0-7,6-0-10,9-0-4,7-0-9,2009-01-11,,52-1-47,3
HYU,1984,,7-0-10,2008-01-13,2003-01-07,6-0-12,11-0-10,2003-01-07,,38-3-59,6
HYU,1985,1-0-1,1-0-17,7-0-13,6-0-11,2009-01-09,8-0-8,7-0-11,,39-1-70,6
HYU,1986,0-0-2,5-0-17,9-0-12,4-0-9,2004-02-11,8-0-12,2-0-11,,32-2-74,6
HYU,1987,,7-0-11,5-0-16,5-0-8,4-0-5,6-0-11,2013-02-12,1-0-2,41-2-65,7
HYU,1988,,2004-01-15,9-0-14,6-0-8,4-0-14,10-0-16,1-0-6,,34-1-73,7
HYU,1989,,2008-01-07,2009-02-11,11-0-11,2008-01-04,10-0-12,12-0-9,4-0-0,62-4-54,3
HYU,1990,,8-0-7,11-0-9,4-0-8,2009-02-10,2012-01-11,12-0-14,2-0-0,58-3-59,5
HYU,1991,,11-0-10,13-0-13,9-0-10,2009-01-12,2009-01-19,4-0-5,,55-2-69,5
HYU,1992,,2010-03-07,8-0-18,10-0-10,12-0-11,8-0-17,8-0-4,,56-3-67,6
HYU,1993,,2004-01-10,2007-03-16,2011-02-10,2004-01-14,2004-02-17,2004-01-15,,34-10-82,8
HYU,1994,,2010-02-06,11-0-12,15-0-10,8-0-9,2015-01-09,9-0-9,,68-3-55,2
HYU,1995,,5-0-7,2010-01-15,2009-02-15,9-0-9,2007-01-15,2008-01-12,,48-5-73,7
HYU,1996,,7-0-6,2017-01-10,2011-02-10,2009-02-09,14-0-16,9-0-3,,67-5-54,2
HYU,1997,,2005-01-10,2013-01-12,2006-01-15,2009-01-11,12-0-12,6-0-11,,51-4-71,6
HYU,1998,,10-0-5,19-0-8,16-0-6,10-0-10,16-0-8,10-0-7,0-0-1,81-0-45,1
HYU,1999,,11-0-12,2016-02-08,2010-03-11,12-0-7,9-0-12,6-0-6,4-0-3,68-5-59,5
HYU,2000,,17-0-5,18-0-8,12-0-11,2014-01-06,2017-01-04,5-0-3,8-0-3,91-2-40,1
HYU,2001,,11-0-11,19-0-8,2015-02-07,2011-01-05,7-0-12,2008-01-13,1-0-1,72-4-57,3
HYU,2002,,2011-03-07,2009-01-15,11-0-8,10-0-8,2011-01-05,14-0-11,4-0-4,70-5-58,4
HYU,2003,,2015-01-05,12-0-12,13-0-9,2015-01-03,15-0-12,10-0-10,,80-2-51,1
HYU,2004,,2015-01-08,2013-01-10,2010-03-10,10-0-7,13-0-8,11-0-9,3-0-1,75-5-53,1
HYU,2005,,2010-01-13,12-0-12,10-0-15,2009-01-09,2006-01-14,6-0-7,,53-3-70,7
HYU,2006,,10-0-9,16-0-7,2008-01-14,7-0-5,16-0-10,13-0-8,0-0-2,70-1-55,3
HYU,2007,,9-0-11,11-0-13,12-0-11,2008-01-11,6-0-14,7-0-8,3-0-1,56-1-69,6
HYU,Sum,2-0-4,222-15-241,298-13-302,236-17-263,220-16-225,258-9-305,200-7-233,30-0-21,"1,466-77-1,594",
HYU,WinRate,0.333,0.479,0.497,0.473,0.494,0.458,0.462,0.588,0.479,
