play,player,Team,score,note,year
R,장종훈,BIN,104,,1991
SB,이순철,HAE,56,18SB실패,1991
SLG,장종훈,BIN,0.640,,1991
OBP,장효조,LOT,0.452,,1991
W,선동열,HAE,19,4패,1991
ERA,선동열,HAE,1.55,203이닝35자책점,1991
WPCT,선동열,HAE,0.826,19승4패,1991
K,선동열,HAE,210,,1991
RF,조규제,SSB,34,27SV7RF승,1991
SV,조규제,SSB,27,,1991
AVG,이정훈,BIN,0.360,369타수133H,1992
H,이순철,HAE,152,,1992
2B,박정태,LOT,43,,1992
3B,이종운,LOT,14,,1992
HR,장종훈,BIN,41,,1992
RBI,장종훈,BIN,119,,1992
R,장종훈,BIN,106,,1992
SB,이순철,HAE,44,16SB실패,1992
SLG,장종훈,BIN,0.659,,1992
OBP,김기태,SSB,0.461,,1992
W,송진우,BIN,19,8패,1992
ERA,염종석,LOT,2.33,204.66이닝53자책점,1992
WPCT,오봉옥,SAM,1.000,13승0패,1992
K,이강철,HAE,155,,1992
RF,송진우,BIN,25,17SV8RF승,1992
SV,송진우,BIN,17,,1992
AVG,양준혁,SAM,0.341,381타수130H,1993
H,김형석,OB,147,,1993
2B,박준태,LG,29,,1993
3B,노찬엽,LG,8,ERA,1993
3B,이명수,OB,,,1993
HR,김성래,SAM,28,,1993
RBI,김성래,SAM,91,,1993
R,이종범,HAE,85,,1993
SB,전준호,LOT,75,25SB실패,1993
SLG,양준혁,SAM,0.598,,1993
OBP,양준혁,SAM,0.436,,1993
W,조계현,HAE,17,6패,1993
WPCT,정민철,BIN,0.813,13승3패,1993
K,김상엽,SAM,170,,1993
RF,선동열,HAE,41,31SV10RF승,1993
SV,선동열,HAE,31,,1993
AVG,이종범,HAE,0.393,499타수196H,1994
H,이종범,HAE,196,OBP,1994
2B,김민호,LOT,34,,1994
3B,노찬엽,LG,6,,1994
3B,박종호,LG,,,1994
HR,김기태,SSB,25,,1994
RBI,양준혁,SAM,87,,1994
R,이종범,HAE,113,,1994
SB,이종범,HAE,84,15SB실패,1994
SLG,김기태,SSB,0.590,,1994
이종범,HAE,0.452,,,1994
W,이상훈,LG,18,8패,1994
W,조계현,HAE,,5패,1994
ERA,정민철,HAN,2.15,218이닝52자책점,1994
WPCT,김홍집,TPY,0.800,12승3패,1994
K,정민철,HAN,196,,1994
RF,정명원,TPY,44,40SV4RF승,1994
SV,정명원,TPY,40,,1994
AVG,김광림,SSB,0.337,419타수141H,1995
H,최태원,SSB,147,,1995
2B,김기태,SSB,34,,1995
2B,양준혁,SAM,,,1995
3B,전준호,LOT,12,,1995
HR,김상호,OB,25,,1995
RBI,김상호,OB,101,,1995
R,전준호,LOT,93,,1995
SB,전준호,LOT,69,25SB실패,1995
SLG,장종훈,HAN,0.562,,1995
OBP,장종훈,HAN,0.424,,1995
W,이상훈,LG,20,5패,1995
ERA,조계현,HAE,1.71,126이닝24자책점,1995
WPCT,이상훈,LG,0.800,20승5패,1995
K,이대진,HAE,163,,1995
RF,선동열,HAE,38,33SV5RF승,1995
SV,선동열,HAE,33,,1995
AVG,양준혁,SAM,0.346,436타수151H,1996
H,양준혁,SAM,151,,1996
2B,양준혁,SAM,33,,1996
3B,전준호,LOT,9,,1996
HR,박재홍,HYU,30,,1996
RBI,박재홍,HYU,108,,1996
R,이종범,HAE,94,,1996
SB,이종범,HAE,57,12SB실패,1996
SLG,양준혁,SAM,0.624,,1996
OBP,홍현우,HAE,0.453,,1996
W,구대성,HAN,18,3패,1996
W,주형광,LOT,,7패,1996
ERA,구대성,HAN,1.88,139이닝29자책점,1996
WPCT,구대성,HAN,0.857,18승3패,1996
K,주형광,LOT,221,,1996
RF,구대성,HAN,40,24SV16RF승,1996
SV,정명원,HYU,26,,1996
AVG,김기태,SSB,0.344,390타수134H,1997
H,이승엽,SAM,170,,1997
2B,신동주,SAM,37,,1997
2B,이승엽,SAM,,,1997
3B,조원우,SSB,9,,1997
HR,이승엽,SAM,32,,1997
RBI,이승엽,SAM,114,,1997
R,이종범,HAE,112,,1997
SB,이종범,HAE,64,15SB실패,1997
SLG,김기태,SSB,0.636,,1997
OBP,김기태,SSB,0.460,,1997
W,김현욱,SSB,20,2패,1997
ERA,김현욱,SSB,1.88,157.66이닝33자책점,1997
WPCT,김현욱,SSB,0.909,20승2패,1997
K,정민철,HAN,160,,1997
RF,이상훈,LG,47,37SV10RF승,1997
SV,이상훈,LG,37,,1997
AVG,양준혁,SAM,0.342,456타수156H,1998
