rank,player,Team,AVG,year
36,가르시아,LOT,0.266,2009
37,나지완,KIA,0.263,2009
38,송광민,HAN,0.261,2009
39,이현곤,KIA,0.253,2009
40,권용관,LG,0.247,2009
41,브룸바,NEX,0.245,2009
42,안치홍,KIA,0.235,2009
43,김상훈,KIA,0.230,2009
1,이대호,LOT,0.364,2010
2,홍성흔,LOT,0.350,2010
3,조성환,LOT,0.336,2010
4,이진영,LG,0.331,2010
5,최준석,DOO,0.321,2010
6,조인성,LG,0.317,2010
7,김현수,DOO,0.317,2010
8,김강민,SK,0.317,2010
9,이종욱,DOO,0.312,2010
10,이용규,KIA,0.307,2010
11,박정권,SK,0.306,2010
12,손아섭,LOT,0.306,2010
13,정근우,SK,0.305,2010
14,강민호,LOT,0.305,2010
15,박석민,SAM,0.303,2010
16,박한이,SAM,0.301,2010
17,강정호,NEX,0.301,2010
18,정원석,HAN,0.300,2010
19,박용택,LG,0.300,2010
19,최정,SK,0.300,2010
21,김동주,DOO,0.295,2010
22,유한준,NEX,0.291,2010
23,안치홍,KIA,0.291,2010
24,송지만,NEX,0.291,2010
25,李炳圭,LG,0.290,2010
26,최희섭,KIA,0.286,2010
27,장민석,NEX,0.283,2010
28,신명철,SAM,0.280,2010
29,최형우,SAM,0.279,2010
30,김주찬,LOT,0.276,2010
31,오재원,DOO,0.276,2010
32,손시헌,DOO,0.273,2010
33,이영욱,SAM,0.272,2010
34,양의지,DOO,0.267,2010
35,김태완,HAN,0.265,2010
36,정성훈,LG,0.263,2010
37,이성열,DOO,0.263,2010
38,박경완,SK,0.262,2010
39,이대형,LG,0.261,2010
40,최진행,HAN,0.261,2010
41,김민우,NEX,0.257,2010
42,가르시아,LOT,0.252,2010
43,오지환,LG,0.241,2010
44,김원섭,KIA,0.238,2010
45,이대수,HAN,0.232,2010
1,이대호,LOT,0.357,2011
2,최형우,SAM,0.340,2011
3,李炳圭,LG,0.338,2011
4,이용규,KIA,0.333,2011
5,손아섭,LOT,0.326,2011
6,안치홍,KIA,0.315,2011
7,최정,SK,0.310,2011
8,홍성흔,LOT,0.306,2011
9,이종욱,DOO,0.303,2011
10,박용택,LG,0.302,2011
11,김현수,DOO,0.301,2011
12,전준우,LOT,0.301,2011
13,이대수,HAN,0.301,2011
14,양의지,DOO,0.301,2011
15,정성훈,LG,0.291,2011
16,김선빈,KIA,0.290,2011
17,황재균,LOT,0.289,2011
18,강민호,LOT,0.289,2011
19,유한준,NEX,0.289,2011
20,강동우,HAN,0.288,2011
21,김동주,DOO,0.286,2011
22,정수빈,DOO,0.285,2011
23,강정호,NEX,0.282,2011
24,김상수,SAM,0.278,2011
25,박석민,SAM,0.278,2011
26,오재원,DOO,0.277,2011
27,최진행,HAN,0.276,2011
28,최준석,DOO,0.271,2011
29,한상훈,HAN,0.269,2011
30,조인성,LG,0.267,2011
31,박한이,SAM,0.256,2011
32,이호준,SK,0.253,2011
33,박정권,SK,0.252,2011
34,김민우,NEX,0.247,2011
35,장성호,HAN,0.244,2011
36,조성환,LOT,0.243,2011
37,알드리지,NEX,0.237,2011
1,김태균,HAN,0.363,2012
2,강정호,NEX,0.314,2012
3,손아섭,LOT,0.314,2012
4,박석민,SAM,0.312,2012
5,정성훈,LG,0.310,2012
6,이승엽,SAM,0.307,2012
7,이진영,LG,0.307,2012
8,박용택,LG,0.305,2012
9,박한이,SAM,0.304,2012
10,김원섭,KIA,0.303,2012
11,이호준,SK,0.300,2012
12,李炳圭,LG,0.300,2012
13,최정,SK,0.300,2012
14,김주찬,LOT,0.294,2012
15,홍성흔,LOT,0.292,2012
16,김현수,DOO,0.291,2012
17,박병호,NEX,0.290,2012
18,안치홍,KIA,0.288,2012
19,이용규,KIA,0.283,2012
20,김선빈,KIA,0.281,2012
21,이대수,HAN,0.279,2012
22,양의지,DOO,0.279,2012
23,김상수,SAM,0.274,2012
24,나지완,KIA,0.274,2012
25,강민호,LOT,0.273,2012
26,황재균,LOT,0.272,2012
27,김강민,SK,0.272,2012
28,최형우,SAM,0.271,2012
29,서건창,NEX,0.266,2012
30,정근우,SK,0.266,2012
31,장성호,HAN,0.263,2012
32,오선진,HAN,0.263,2012
33,박종윤,LOT,0.257,2012
34,박정권,SK,0.255,2012
35,전준우,LOT,0.253,2012
36,오지환,LG,0.249,2012
37,최진행,HAN,0.248,2012
38,장민석,NEX,0.246,2012
39,배영섭,SAM,0.245,2012
40,이종욱,DOO,0.240,2012
1,李炳圭,LG,0.348,2013
2,손아섭,LOT,0.345,2013
3,이진영,LG,0.329,2013
4,박용택,LG,0.328,2013
5,김태균,HAN,0.319,2013
6,민병헌,DOO,0.319,2013
7,박석민,SAM,0.318,2013
8,박병호,NEX,0.318,2013
9,최정,SK,0.316,2013
10,정성훈,LG,0.312,2013
11,신종길,KIA,0.310,2013
12,이종욱,DOO,0.307,2013
13,최형우,SAM,0.305,2013
14,김현수,DOO,0.302,2013
15,김강민,SK,0.301,2013
16,최진행,HAN,0.300,2013
17,홍성흔,DOO,0.299,2013
18,김상수,SAM,0.298,2013
19,배영섭,SAM,0.295,2013
20,이용규,KIA,0.295,2013
21,박정권,SK,0.292,2013
22,강정호,NEX,0.291,2013
23,나지완,KIA,0.287,2013
24,이택근,NEX,0.287,2013
25,정현석,HAN,0.287,2013
26,박한이,SAM,0.284,2013
27,김민성,NEX,0.282,2013
28,조영훈,NC,0.282,2013
29,정근우,SK,0.280,2013
30,이호준,NC,0.278,2013
31,김종호,NC,0.277,2013
32,모창민,NC,0.276,2013
33,전준우,LOT,0.275,2013
34,황재균,LOT,0.274,2013
35,정의윤,LG,0.272,2013
36,손주인,LG,0.265,2013
37,정훈,LOT,0.258,2013
38,이대수,HAN,0.256,2013
39,오지환,LG,0.256,2013
40,조동화,SK,0.256,2013
41,박종윤,LOT,0.255,2013
42,이승엽,SAM,0.253,2013
43,안치홍,KIA,0.249,2013
44,이범호,KIA,0.248,2013
45,나성범,NC,0.243,2013
46,장민석,NEX,0.242,2013
47,강민호,LOT,0.235,2013
48,권희동,NC,0.203,2013
1,서건창,NEX,0.370,2014
2,김태균,HAN,0.365,2014
3,손아섭,LOT,0.362,2014
4,강정호,NEX,0.356,2014
5,최형우,SAM,0.356,2014
6,김주찬,KIA,0.346,2014
7,민병헌,DOO,0.345,2014
8,테임즈,NC,0.343,2014
9,박용택,LG,0.343,2014
10,안치홍,KIA,0.339,2014
11,이재원,SK,0.337,2014
12,박한이,SAM,0.331,2014
13,나성범,NC,0.329,2014
14,정성훈,LG,0.329,2014
15,피에,HAN,0.326,2014
16,이진영,LG,0.325,2014
17,이대형,KIA,0.323,2014
18,김현수,DOO,0.322,2014
19,황재균,LOT,0.321,2014
20,오재원,DOO,0.318,2014
21,채태인,SAM,0.317,2014
22,송광민,HAN,0.316,2014
23,유한준,NEX,0.316,2014
24,홍성흔,DOO,0.315,2014
25,박석민,SAM,0.315,2014
26,나지완,KIA,0.312,2014
27,박정권,SK,0.310,2014
28,박종윤,LOT,0.309,2014
29,칸투,DOO,0.309,2014
30,이승엽,SAM,0.308,2014
31,나바로,SAM,0.308,2014
32,정수빈,DOO,0.306,2014
33,이택근,NEX,0.306,2014
34,李柄奎,LG,0.306,2014
35,박병호,NEX,0.303,2014
36,김강민,SK,0.302,2014
37,박민우,NC,0.298,2014
38,정근우,HAN,0.295,2014
39,정훈,LOT,0.294,2014
40,김민성,NEX,0.292,2014
41,신종길,KIA,0.292,2014
42,전준우,LOT,0.292,2014
43,손주인,LG,0.290,2014
44,김상수,SAM,0.288,2014
45,이용규,HAN,0.288,2014
46,이종욱,NC,0.288,2014
47,최준석,LOT,0.286,2014
48,김성현,SK,0.284,2014
49,나주환,SK,0.273,2014
50,이호준,NC,0.271,2014
51,이범호,KIA,0.269,2014
52,모창민,NC,0.263,2014
53,오지환,LG,0.262,2014
54,조동화,SK,0.262,2014
55,김재호,DOO,0.252,2014
,,,,
